Antecedente;Consequente;Suporte;Confian√ßa
[12, 13, 18];[1, 6, 7];1;50.0%
[13, 18, 7];[1, 6, 12];1;100.0%
[12, 18, 7];[1, 6, 13];1;50.0%
[12, 13, 7];[1, 6, 18];1;100.0%
[6, 13, 18];[1, 7, 12];1;33.3%
[12, 6, 18];[1, 7, 13];1;33.3%
[12, 6, 13];[1, 7, 18];1;20.0%
[6, 18, 7];[1, 12, 13];1;50.0%
[6, 13, 7];[1, 12, 18];1;50.0%
[12, 6, 7];[1, 13, 18];1;50.0%
[13, 1, 18];[6, 7, 12];1;50.0%
[12, 1, 18];[6, 7, 13];1;50.0%
[12, 13, 1];[6, 7, 18];1;50.0%
[1, 18, 7];[6, 12, 13];1;50.0%
[13, 1, 7];[6, 12, 18];1;50.0%
[12, 1, 7];[6, 13, 18];1;50.0%
[6, 1, 18];[7, 12, 13];1;33.3%
[6, 13, 1];[7, 12, 18];1;25.0%
[12, 6, 1];[7, 13, 18];1;33.3%
[6, 1, 7];[12, 13, 18];1;33.3%
[13, 18];[1, 6, 7, 12];1;25.0%
[12, 18];[1, 6, 7, 13];1;33.3%
[12, 13];[1, 6, 7, 18];1;20.0%
[18, 7];[1, 6, 12, 13];1;50.0%
[13, 7];[1, 6, 12, 18];1;50.0%
[12, 7];[1, 6, 13, 18];1;33.3%
[6, 18];[1, 7, 12, 13];1;25.0%
[6, 13];[1, 7, 12, 18];1;14.3%
[12, 6];[1, 7, 13, 18];1;14.3%
[6, 7];[1, 12, 13, 18];1;33.3%
[1, 18];[6, 7, 12, 13];1;33.3%
[13, 1];[6, 7, 12, 18];1;25.0%
[12, 1];[6, 7, 13, 18];1;33.3%
[1, 7];[6, 12, 13, 18];1;33.3%
[6, 1];[7, 12, 13, 18];1;20.0%
[18];[1, 6, 7, 12, 13];1;20.0%
[13];[1, 6, 7, 12, 18];1;11.1%
[12];[1, 6, 7, 13, 18];1;10.0%
[7];[1, 6, 12, 13, 18];1;25.0%
[6];[1, 7, 12, 13, 18];1;11.1%
[1];[6, 7, 12, 13, 18];1;20.0%
[12, 6, 18, 7, 14];[1];1;100.0%
[12, 1, 18, 7, 14];[6];1;100.0%
[12, 6, 1, 18, 14];[7];1;100.0%
[6, 1, 18, 7, 14];[12];1;100.0%
[12, 6, 1, 18, 7];[14];1;50.0%
[12, 6, 1, 7, 14];[18];1;100.0%
[12, 18, 7, 14];[1, 6];1;100.0%
[12, 6, 18, 14];[1, 7];1;100.0%
[6, 18, 7, 14];[1, 12];1;100.0%
[12, 6, 18, 7];[1, 14];1;50.0%
[12, 6, 7, 14];[1, 18];1;100.0%
[12, 1, 18, 14];[6, 7];1;100.0%
[1, 18, 7, 14];[6, 12];1;100.0%
[12, 1, 18, 7];[6, 14];1;50.0%
[12, 1, 7, 14];[6, 18];1;100.0%
[6, 1, 18, 14];[7, 12];1;100.0%
[12, 6, 1, 18];[7, 14];1;50.0%
[12, 6, 1, 14];[7, 18];1;100.0%
[6, 1, 18, 7];[12, 14];1;50.0%
[6, 1, 7, 14];[12, 18];1;100.0%
[12, 6, 1, 7];[14, 18];1;50.0%
[12, 18, 14];[1, 6, 7];1;100.0%
[18, 7, 14];[1, 6, 12];1;100.0%
[12, 18, 7];[1, 6, 14];1;50.0%
[12, 7, 14];[1, 6, 18];1;50.0%
[6, 18, 14];[1, 7, 12];1;100.0%
[12, 6, 18];[1, 7, 14];1;33.3%
[12, 6, 14];[1, 7, 18];1;100.0%
[6, 18, 7];[1, 12, 14];1;50.0%
[6, 7, 14];[1, 12, 18];1;100.0%
[12, 6, 7];[1, 14, 18];1;50.0%
[1, 18, 14];[6, 7, 12];1;100.0%
[12, 1, 18];[6, 7, 14];1;50.0%
[12, 1, 14];[6, 7, 18];1;100.0%
[1, 18, 7];[6, 12, 14];1;50.0%
[1, 7, 14];[6, 12, 18];1;100.0%
[12, 1, 7];[6, 14, 18];1;50.0%
[6, 1, 18];[7, 12, 14];1;33.3%
[6, 1, 14];[7, 12, 18];1;100.0%
[12, 6, 1];[7, 14, 18];1;33.3%
[6, 1, 7];[12, 14, 18];1;33.3%
[18, 14];[1, 6, 7, 12];1;100.0%
[12, 18];[1, 6, 7, 14];1;33.3%
[12, 14];[1, 6, 7, 18];1;33.3%
[18, 7];[1, 6, 12, 14];1;50.0%
[7, 14];[1, 6, 12, 18];1;50.0%
[12, 7];[1, 6, 14, 18];1;33.3%
[6, 18];[1, 7, 12, 14];1;25.0%
[6, 14];[1, 7, 12, 18];1;100.0%
[12, 6];[1, 7, 14, 18];1;14.3%
[6, 7];[1, 12, 14, 18];1;33.3%
[1, 18];[6, 7, 12, 14];1;33.3%
[1, 14];[6, 7, 12, 18];1;100.0%
[12, 1];[6, 7, 14, 18];1;33.3%
[1, 7];[6, 12, 14, 18];1;33.3%
[6, 1];[7, 12, 14, 18];1;20.0%
[18];[1, 6, 7, 12, 14];1;20.0%
[14];[1, 6, 7, 12, 18];1;33.3%
[12];[1, 6, 7, 14, 18];1;10.0%
[7];[1, 6, 12, 14, 18];1;25.0%
[6];[1, 7, 12, 14, 18];1;11.1%
[1];[6, 7, 12, 14, 18];1;20.0%
[6, 13, 8, 18, 11];[1];1;100.0%
[13, 1, 8, 18, 11];[6];1;100.0%
[6, 13, 1, 18, 11];[8];1;100.0%
[6, 13, 1, 8, 18];[11];1;100.0%
[6, 1, 8, 18, 11];[13];1;100.0%
[6, 13, 1, 8, 11];[18];1;100.0%
[13, 8, 18, 11];[1, 6];1;100.0%
[6, 13, 18, 11];[1, 8];1;100.0%
[6, 13, 8, 18];[1, 11];1;100.0%
[6, 8, 18, 11];[1, 13];1;100.0%
[6, 13, 8, 11];[1, 18];1;100.0%
[13, 1, 18, 11];[6, 8];1;100.0%
[13, 1, 8, 18];[6, 11];1;100.0%
[1, 8, 18, 11];[6, 13];1;100.0%
[13, 1, 8, 11];[6, 18];1;100.0%
[6, 13, 1, 18];[8, 11];1;50.0%
[6, 1, 18, 11];[8, 13];1;100.0%
[6, 13, 1, 11];[8, 18];1;50.0%
[6, 1, 8, 18];[11, 13];1;100.0%
[6, 13, 1, 8];[11, 18];1;100.0%
[6, 1, 8, 11];[13, 18];1;100.0%
[13, 18, 11];[1, 6, 8];1;100.0%
[13, 8, 18];[1, 6, 11];1;50.0%
[8, 18, 11];[1, 6, 13];1;100.0%
[13, 8, 11];[1, 6, 18];1;100.0%
[6, 13, 18];[1, 8, 11];1;33.3%
[6, 18, 11];[1, 8, 13];1;100.0%
[6, 13, 11];[1, 8, 18];1;50.0%
[6, 8, 18];[1, 11, 13];1;100.0%
[6, 13, 8];[1, 11, 18];1;100.0%
[6, 8, 11];[1, 13, 18];1;100.0%
[13, 1, 18];[6, 8, 11];1;50.0%
[1, 18, 11];[6, 8, 13];1;100.0%
[13, 1, 11];[6, 8, 18];1;50.0%
[1, 8, 18];[6, 11, 13];1;100.0%
[13, 1, 8];[6, 11, 18];1;100.0%
[1, 8, 11];[6, 13, 18];1;100.0%
[6, 1, 18];[8, 11, 13];1;33.3%
[6, 13, 1];[8, 11, 18];1;25.0%
[6, 1, 11];[8, 13, 18];1;50.0%
[6, 1, 8];[11, 13, 18];1;100.0%
[13, 18];[1, 6, 8, 11];1;25.0%
[18, 11];[1, 6, 8, 13];1;100.0%
[13, 11];[1, 6, 8, 18];1;50.0%
[8, 18];[1, 6, 11, 13];1;50.0%
[13, 8];[1, 6, 11, 18];1;33.3%
[8, 11];[1, 6, 13, 18];1;50.0%
[6, 18];[1, 8, 11, 13];1;25.0%
[6, 13];[1, 8, 11, 18];1;14.3%
[6, 11];[1, 8, 13, 18];1;50.0%
[6, 8];[1, 11, 13, 18];1;100.0%
[1, 18];[6, 8, 11, 13];1;33.3%
[13, 1];[6, 8, 11, 18];1;25.0%
[1, 11];[6, 8, 13, 18];1;50.0%
[1, 8];[6, 11, 13, 18];1;100.0%
[6, 1];[8, 11, 13, 18];1;20.0%
[18];[1, 6, 8, 11, 13];1;20.0%
[13];[1, 6, 8, 11, 18];1;11.1%
[11];[1, 6, 8, 13, 18];1;33.3%
[8];[1, 6, 11, 13, 18];1;20.0%
[6];[1, 8, 11, 13, 18];1;11.1%
[1];[6, 8, 11, 13, 18];1;20.0%
[12, 6, 13, 9, 16];[1];1;50.0%
[12, 13, 9, 1, 16];[6];1;100.0%
[12, 6, 13, 1, 16];[9];1;100.0%
[6, 13, 9, 1, 16];[12];1;100.0%
[12, 6, 9, 1, 16];[13];1;100.0%
[12, 6, 13, 9, 1];[16];1;100.0%
[12, 13, 9, 16];[1, 6];1;50.0%
[12, 6, 13, 16];[1, 9];1;50.0%
[6, 13, 9, 16];[1, 12];1;50.0%
[12, 6, 9, 16];[1, 13];1;33.3%
[12, 6, 13, 9];[1, 16];1;25.0%
[12, 13, 1, 16];[6, 9];1;100.0%
[13, 9, 1, 16];[6, 12];1;100.0%
[12, 9, 1, 16];[6, 13];1;100.0%
[12, 13, 9, 1];[6, 16];1;100.0%
[6, 13, 1, 16];[9, 12];1;50.0%
[12, 6, 1, 16];[9, 13];1;100.0%
[12, 6, 13, 1];[9, 16];1;50.0%
[6, 9, 1, 16];[12, 13];1;100.0%
[6, 13, 9, 1];[12, 16];1;100.0%
[12, 6, 9, 1];[13, 16];1;100.0%
[12, 13, 16];[1, 6, 9];1;50.0%
[13, 9, 16];[1, 6, 12];1;50.0%
[12, 9, 16];[1, 6, 13];1;33.3%
[12, 13, 9];[1, 6, 16];1;25.0%
[6, 13, 16];[1, 9, 12];1;33.3%
[12, 6, 16];[1, 9, 13];1;33.3%
[12, 6, 13];[1, 9, 16];1;20.0%
[6, 9, 16];[1, 12, 13];1;33.3%
[6, 13, 9];[1, 12, 16];1;25.0%
[12, 6, 9];[1, 13, 16];1;20.0%
[13, 1, 16];[6, 9, 12];1;50.0%
[12, 1, 16];[6, 9, 13];1;100.0%
[12, 13, 1];[6, 9, 16];1;50.0%
[9, 1, 16];[6, 12, 13];1;100.0%
[13, 9, 1];[6, 12, 16];1;100.0%
[12, 9, 1];[6, 13, 16];1;100.0%
[6, 1, 16];[9, 12, 13];1;50.0%
[6, 13, 1];[9, 12, 16];1;25.0%
[12, 6, 1];[9, 13, 16];1;33.3%
[6, 9, 1];[12, 13, 16];1;100.0%
[13, 16];[1, 6, 9, 12];1;33.3%
[12, 16];[1, 6, 9, 13];1;25.0%
[12, 13];[1, 6, 9, 16];1;20.0%
[9, 16];[1, 6, 12, 13];1;33.3%
[13, 9];[1, 6, 12, 16];1;25.0%
[12, 9];[1, 6, 13, 16];1;16.7%
[6, 16];[1, 9, 12, 13];1;25.0%
[6, 13];[1, 9, 12, 16];1;14.3%
[12, 6];[1, 9, 13, 16];1;14.3%
[6, 9];[1, 12, 13, 16];1;20.0%
[1, 16];[6, 9, 12, 13];1;50.0%
[13, 1];[6, 9, 12, 16];1;25.0%
[12, 1];[6, 9, 13, 16];1;33.3%
[9, 1];[6, 12, 13, 16];1;100.0%
[6, 1];[9, 12, 13, 16];1;20.0%
[16];[1, 6, 9, 12, 13];1;20.0%
[13];[1, 6, 9, 12, 16];1;11.1%
[12];[1, 6, 9, 13, 16];1;10.0%
[9];[1, 6, 12, 13, 16];1;16.7%
[6];[1, 9, 12, 13, 16];1;11.1%
[1];[6, 9, 12, 13, 16];1;20.0%
[12, 17, 7, 4, 14];[2];1;100.0%
[12, 2, 17, 7, 14];[4];1;100.0%
[12, 2, 17, 4, 14];[7];1;100.0%
[2, 17, 7, 4, 14];[12];1;100.0%
[12, 2, 17, 7, 4];[14];1;100.0%
[12, 2, 7, 4, 14];[17];1;100.0%
[12, 17, 7, 14];[2, 4];1;100.0%
[12, 17, 4, 14];[2, 7];1;100.0%
[17, 7, 4, 14];[2, 12];1;100.0%
[12, 17, 7, 4];[2, 14];1;100.0%
[12, 7, 4, 14];[2, 17];1;100.0%
[12, 2, 17, 14];[4, 7];1;50.0%
[2, 17, 7, 14];[4, 12];1;100.0%
[12, 2, 17, 7];[4, 14];1;100.0%
[12, 2, 7, 14];[4, 17];1;100.0%
[2, 17, 4, 14];[7, 12];1;100.0%
[12, 2, 17, 4];[7, 14];1;100.0%
[12, 2, 4, 14];[7, 17];1;100.0%
[2, 17, 7, 4];[12, 14];1;100.0%
[2, 7, 4, 14];[12, 17];1;100.0%
[12, 2, 7, 4];[14, 17];1;100.0%
[12, 17, 14];[2, 4, 7];1;50.0%
[17, 7, 14];[2, 4, 12];1;100.0%
[12, 17, 7];[2, 4, 14];1;100.0%
[12, 7, 14];[2, 4, 17];1;50.0%
[17, 4, 14];[2, 7, 12];1;100.0%
[12, 17, 4];[2, 7, 14];1;100.0%
[12, 4, 14];[2, 7, 17];1;100.0%
[17, 7, 4];[2, 12, 14];1;100.0%
[7, 4, 14];[2, 12, 17];1;100.0%
[12, 7, 4];[2, 14, 17];1;100.0%
[2, 17, 14];[4, 7, 12];1;50.0%
[12, 2, 17];[4, 7, 14];1;50.0%
[12, 2, 14];[4, 7, 17];1;50.0%
[2, 17, 7];[4, 12, 14];1;100.0%
[2, 7, 14];[4, 12, 17];1;100.0%
[12, 2, 7];[4, 14, 17];1;100.0%
[2, 17, 4];[7, 12, 14];1;50.0%
[2, 4, 14];[7, 12, 17];1;100.0%
[12, 2, 4];[7, 14, 17];1;50.0%
[2, 7, 4];[12, 14, 17];1;100.0%
[17, 14];[2, 4, 7, 12];1;50.0%
[12, 17];[2, 4, 7, 14];1;33.3%
[12, 14];[2, 4, 7, 17];1;33.3%
[17, 7];[2, 4, 12, 14];1;100.0%
[7, 14];[2, 4, 12, 17];1;50.0%
[12, 7];[2, 4, 14, 17];1;33.3%
[17, 4];[2, 7, 12, 14];1;50.0%
[4, 14];[2, 7, 12, 17];1;100.0%
[12, 4];[2, 7, 14, 17];1;50.0%
[7, 4];[2, 12, 14, 17];1;100.0%
[2, 17];[4, 7, 12, 14];1;25.0%
[2, 14];[4, 7, 12, 17];1;50.0%
[12, 2];[4, 7, 14, 17];1;33.3%
[2, 7];[4, 12, 14, 17];1;100.0%
[2, 4];[7, 12, 14, 17];1;33.3%
[17];[2, 4, 7, 12, 14];1;20.0%
[14];[2, 4, 7, 12, 17];1;33.3%
[12];[2, 4, 7, 14, 17];1;10.0%
[7];[2, 4, 12, 14, 17];1;25.0%
[4];[2, 7, 12, 14, 17];1;33.3%
[2];[4, 7, 12, 14, 17];1;16.7%
[8, 17, 4, 11, 15];[2];1;100.0%
[2, 8, 17, 11, 15];[4];1;100.0%
[2, 17, 4, 11, 15];[8];1;100.0%
[2, 8, 17, 4, 15];[11];1;100.0%
[2, 8, 17, 4, 11];[15];1;100.0%
[2, 8, 4, 11, 15];[17];1;100.0%
[8, 17, 11, 15];[2, 4];1;100.0%
[17, 4, 11, 15];[2, 8];1;100.0%
[8, 17, 4, 15];[2, 11];1;100.0%
[8, 17, 4, 11];[2, 15];1;100.0%
[8, 4, 11, 15];[2, 17];1;100.0%
[2, 17, 11, 15];[4, 8];1;100.0%
[2, 8, 17, 15];[4, 11];1;100.0%
[2, 8, 17, 11];[4, 15];1;100.0%
[2, 8, 11, 15];[4, 17];1;100.0%
[2, 17, 4, 15];[8, 11];1;100.0%
[2, 17, 4, 11];[8, 15];1;100.0%
[2, 4, 11, 15];[8, 17];1;100.0%
[2, 8, 17, 4];[11, 15];1;100.0%
[2, 8, 4, 15];[11, 17];1;50.0%
[2, 8, 4, 11];[15, 17];1;100.0%
[17, 11, 15];[2, 4, 8];1;100.0%
[8, 17, 15];[2, 4, 11];1;100.0%
[8, 17, 11];[2, 4, 15];1;100.0%
[8, 11, 15];[2, 4, 17];1;100.0%
[17, 4, 15];[2, 8, 11];1;100.0%
[17, 4, 11];[2, 8, 15];1;100.0%
[4, 11, 15];[2, 8, 17];1;100.0%
[8, 17, 4];[2, 11, 15];1;100.0%
[8, 4, 15];[2, 11, 17];1;50.0%
[8, 4, 11];[2, 15, 17];1;100.0%
[2, 17, 15];[4, 8, 11];1;100.0%
[2, 17, 11];[4, 8, 15];1;100.0%
[2, 11, 15];[4, 8, 17];1;100.0%
[2, 8, 17];[4, 11, 15];1;50.0%
[2, 8, 15];[4, 11, 17];1;50.0%
[2, 8, 11];[4, 15, 17];1;100.0%
[2, 17, 4];[8, 11, 15];1;50.0%
[2, 4, 15];[8, 11, 17];1;50.0%
[2, 4, 11];[8, 15, 17];1;100.0%
[2, 8, 4];[11, 15, 17];1;50.0%
[17, 15];[2, 4, 8, 11];1;100.0%
[17, 11];[2, 4, 8, 15];1;100.0%
[11, 15];[2, 4, 8, 17];1;100.0%
[8, 17];[2, 4, 11, 15];1;50.0%
[8, 15];[2, 4, 11, 17];1;50.0%
[8, 11];[2, 4, 15, 17];1;50.0%
[17, 4];[2, 8, 11, 15];1;50.0%
[4, 15];[2, 8, 11, 17];1;50.0%
[4, 11];[2, 8, 15, 17];1;100.0%
[8, 4];[2, 11, 15, 17];1;50.0%
[2, 17];[4, 8, 11, 15];1;25.0%
[2, 15];[4, 8, 11, 17];1;50.0%
[2, 11];[4, 8, 15, 17];1;100.0%
[2, 8];[4, 11, 15, 17];1;25.0%
[2, 4];[8, 11, 15, 17];1;33.3%
[17];[2, 4, 8, 11, 15];1;20.0%
[15];[2, 4, 8, 11, 17];1;33.3%
[11];[2, 4, 8, 15, 17];1;33.3%
[8];[2, 4, 11, 15, 17];1;20.0%
[4];[2, 8, 11, 15, 17];1;33.3%
[2];[4, 8, 11, 15, 17];1;16.7%
[12, 8, 16, 4, 15];[2];1;100.0%
[12, 2, 8, 16, 15];[4];1;100.0%
[12, 2, 16, 4, 15];[8];1;100.0%
[2, 8, 16, 4, 15];[12];1;100.0%
[12, 2, 8, 16, 4];[15];1;100.0%
[12, 2, 8, 4, 15];[16];1;100.0%
[12, 8, 16, 15];[2, 4];1;100.0%
[12, 16, 4, 15];[2, 8];1;100.0%
[8, 16, 4, 15];[2, 12];1;100.0%
[12, 8, 16, 4];[2, 15];1;100.0%
[12, 8, 4, 15];[2, 16];1;100.0%
[12, 2, 16, 15];[4, 8];1;100.0%
[2, 8, 16, 15];[4, 12];1;100.0%
[12, 2, 8, 16];[4, 15];1;100.0%
[12, 2, 8, 15];[4, 16];1;100.0%
[2, 16, 4, 15];[8, 12];1;100.0%
[12, 2, 16, 4];[8, 15];1;100.0%
[12, 2, 4, 15];[8, 16];1;100.0%
[2, 8, 16, 4];[12, 15];1;100.0%
[2, 8, 4, 15];[12, 16];1;50.0%
[12, 2, 8, 4];[15, 16];1;100.0%
[12, 16, 15];[2, 4, 8];1;50.0%
[8, 16, 15];[2, 4, 12];1;100.0%
[12, 8, 16];[2, 4, 15];1;100.0%
[12, 8, 15];[2, 4, 16];1;100.0%
[16, 4, 15];[2, 8, 12];1;100.0%
[12, 16, 4];[2, 8, 15];1;100.0%
[12, 4, 15];[2, 8, 16];1;100.0%
[8, 16, 4];[2, 12, 15];1;100.0%
[8, 4, 15];[2, 12, 16];1;50.0%
[12, 8, 4];[2, 15, 16];1;100.0%
[2, 16, 15];[4, 8, 12];1;100.0%
[12, 2, 16];[4, 8, 15];1;100.0%
[12, 2, 15];[4, 8, 16];1;100.0%
[2, 8, 16];[4, 12, 15];1;100.0%
[2, 8, 15];[4, 12, 16];1;50.0%
[12, 2, 8];[4, 15, 16];1;100.0%
[2, 16, 4];[8, 12, 15];1;100.0%
[2, 4, 15];[8, 12, 16];1;50.0%
[12, 2, 4];[8, 15, 16];1;50.0%
[2, 8, 4];[12, 15, 16];1;50.0%
[16, 15];[2, 4, 8, 12];1;50.0%
[12, 16];[2, 4, 8, 15];1;25.0%
[12, 15];[2, 4, 8, 16];1;50.0%
[8, 16];[2, 4, 12, 15];1;100.0%
[8, 15];[2, 4, 12, 16];1;50.0%
[12, 8];[2, 4, 15, 16];1;100.0%
[16, 4];[2, 8, 12, 15];1;100.0%
[4, 15];[2, 8, 12, 16];1;50.0%
[12, 4];[2, 8, 15, 16];1;50.0%
[8, 4];[2, 12, 15, 16];1;50.0%
[2, 16];[4, 8, 12, 15];1;100.0%
[2, 15];[4, 8, 12, 16];1;50.0%
[12, 2];[4, 8, 15, 16];1;33.3%
[2, 8];[4, 12, 15, 16];1;25.0%
[2, 4];[8, 12, 15, 16];1;33.3%
[16];[2, 4, 8, 12, 15];1;20.0%
[15];[2, 4, 8, 12, 16];1;33.3%
[12];[2, 4, 8, 15, 16];1;10.0%
[8];[2, 4, 12, 15, 16];1;20.0%
[4];[2, 8, 12, 15, 16];1;33.3%
[2];[4, 8, 12, 15, 16];1;16.7%
[13, 8, 17, 5, 10];[2];1;100.0%
[13, 2, 8, 17, 10];[5];1;100.0%
[13, 2, 17, 5, 10];[8];1;100.0%
[13, 2, 8, 17, 5];[10];1;100.0%
[2, 8, 17, 5, 10];[13];1;100.0%
[13, 2, 8, 5, 10];[17];1;50.0%
[13, 8, 17, 10];[2, 5];1;100.0%
[13, 17, 5, 10];[2, 8];1;100.0%
[13, 8, 17, 5];[2, 10];1;100.0%
